index_right,Unnamed: 0,id,created_at,text,coordinates,place,user,long,lat,points
10,1418,340458559731032064,Fri May 31 13:23:40 +0000 2013,The government started to block the roads and shut down public transportation to prevent people gathering in Taksim @TeamCNN @BBCWorld,"{u'type': u'Point', u'coordinates': [28.97610702, 41.03154531]}","{u'country_code': u'TR', u'url': u'https://api.twitter.com/1.1/geo/id/682c5a667856ef42.json', u'country': u'Turqu\xeda', u'place_type': u'country', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[25.668509, 35.8084193], [44.817931, 35.8084193], [44.817931, 42.1047857], [25.668509, 42.1047857]]]}, u'contained_within': [], u'full_name': u'Turqu\xeda', u'attributes': {}, u'id': u'682c5a667856ef42', u'name': u'Turqu\xeda'}","{u'follow_request_sent': False, u'has_extended_profile': True, u'profile_use_background_image': True, u'time_zone': None, u'id': 84545593, u'default_profile': False, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://pbs.twimg.com/profile_images/972552110108704768/XtafeuKW_normal.jpg', u'profile_sidebar_fill_color': u'EFEFEF', u'is_translator': False, u'geo_enabled': True, u'entities': {u'url': {u'urls': [{u'url': u'https://t.co/0UccypDAii', u'indices': [0, 23], u'expanded_url': u'http://www.tursak.org.tr', u'display_url': u'tursak.org.tr'}]}, u'description': {u'urls': []}}, u'followers_count': 682, u'protected': False, u'id_str': u'84545593', u'default_profile_image': False, u'listed_count': 5, u'lang': u'tr', u'utc_offset': None, u'statuses_count': 7376, u'description': u'Beni kurumumla kurumsal olarak de\u011ferlendirmemenizi tavsiye ederim.TURSAK Project Director Art Director / TURY\u0130D/GastroEkonomiZirvesi/Kurumsal \u0130leti\u015fim Direkt\xf6r\xfc', u'friends_count': 167, u'profile_link_color': u'23B0B0', u'profile_image_url': u'http://pbs.twimg.com/profile_images/972552110108704768/XtafeuKW_normal.jpg', u'notifications': False, u'profile_background_image_url_https': u'https://abs.twimg.com/images/themes/theme14/bg.gif', u'profile_background_color': u'131516', u'profile_banner_url': u'https://pbs.twimg.com/profile_banners/84545593/1505329034', u'profile_background_image_url': u'http://abs.twimg.com/images/themes/theme14/bg.gif', u'name': u'DERYACAN', u'is_translation_enabled': False, u'profile_background_tile': True, u'favourites_count': 1277, u'screen_name': u'DryCn', u'url': u'https://t.co/0UccypDAii', u'created_at': u'Fri Oct 23 09:16:05 +0000 2009', u'contributors_enabled': False, u'location': u'Istanbul', u'profile_sidebar_border_color': u'EEEEEE', u'translator_type': u'none', u'following': False}",28.97610702,41.03154531,POINT (28.97610702 41.03154531)
13,1769,340459470738038785,Fri May 31 13:27:17 +0000 2013,You bet! @joshuafoust: I think something important is happening right now in Gezi in Istanbul. #occupygezi,"{u'type': u'Point', u'coordinates': [28.97396218, 41.02688827]}","{u'country_code': u'TR', u'url': u'https://api.twitter.com/1.1/geo/id/682c5a667856ef42.json', u'country': u'Turqu\xeda', u'place_type': u'country', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[25.668509, 35.8084193], [44.817931, 35.8084193], [44.817931, 42.1047857], [25.668509, 42.1047857]]]}, u'contained_within': [], u'full_name': u'Turqu\xeda', u'attributes': {}, u'id': u'682c5a667856ef42', u'name': u'Turqu\xeda'}","{u'follow_request_sent': False, u'has_extended_profile': False, u'profile_use_background_image': False, u'time_zone': None, u'id': 254467939, u'default_profile': False, u'verified': False, u'profile_text_color': u'000000', u'profile_image_url_https': u'https://pbs.twimg.com/profile_images/580321907901218816/2p46xLLt_normal.jpg', u'profile_sidebar_fill_color': u'000000', u'is_translator': False, u'geo_enabled': True, u'entities': {u'description': {u'urls': []}}, u'followers_count': 1166, u'protected': False, u'id_str': u'254467939', u'default_profile_image': False, u'listed_count': 47, u'lang': u'de', u'utc_offset': None, u'statuses_count': 2047, u'description': u'Reporter News Magazine #10vor10 at Swiss Television @srfnews / frml. with Weeklies @SonntagsZeitung and @matindimanche Threema ID: VFRXEMTP', u'friends_count': 766, u'profile_link_color': u'ABB8C2', u'profile_image_url': u'http://pbs.twimg.com/profile_images/580321907901218816/2p46xLLt_normal.jpg', u'notifications': False, u'profile_background_image_url_https': u'https://abs.twimg.com/images/themes/theme1/bg.png', u'profile_background_color': u'000000', u'profile_background_image_url': u'http://abs.twimg.com/images/themes/theme1/bg.png', u'name': u'Daniel Glaus', u'is_translation_enabled': False, u'profile_background_tile': False, u'favourites_count': 1008, u'screen_name': u'Daniel_Glaus', u'url': None, u'created_at': u'Sat Feb 19 10:08:14 +0000 2011', u'contributors_enabled': False, u'location': u'Zurich', u'profile_sidebar_border_color': u'000000', u'translator_type': u'none', u'following': False}",28.97396218,41.02688827,POINT (28.97396218 41.02688827)
47,6104,340468749268287491,Fri May 31 14:04:10 +0000 2013,I'm at Muhit (istanbul) w/ 8 others http://t.co/Hl8QX6ydkx,"{u'type': u'Point', u'coordinates': [28.98130518, 41.02582311]}","{u'country_code': u'TR', u'url': u'https://api.twitter.com/1.1/geo/id/682c5a667856ef42.json', u'country': u'Turqu\xeda', u'place_type': u'country', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[25.668509, 35.8084193], [44.817931, 35.8084193], [44.817931, 42.1047857], [25.668509, 42.1047857]]]}, u'contained_within': [], u'full_name': u'Turqu\xeda', u'attributes': {}, u'id': u'682c5a667856ef42', u'name': u'Turqu\xeda'}","{u'follow_request_sent': False, u'has_extended_profile': True, u'profile_use_background_image': True, u'time_zone': None, u'id': 518789306, u'default_profile': False, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://pbs.twimg.com/profile_images/452417656893632512/KjKrlLJx_normal.png', u'profile_sidebar_fill_color': u'EFEFEF', u'is_translator': False, u'geo_enabled': True, u'entities': {u'description': {u'urls': []}}, u'followers_count': 242, u'protected': False, u'id_str': u'518789306', u'default_profile_image': False, u'listed_count': 1, u'lang': u'tr', u'utc_offset': None, u'statuses_count': 6090, u'description': u'I rest my case', u'friends_count': 165, u'profile_link_color': u'5E1078', u'profile_image_url': u'http://pbs.twimg.com/profile_images/452417656893632512/KjKrlLJx_normal.png', u'notifications': False, u'profile_background_image_url_https': u'https://abs.twimg.com/images/themes/theme14/bg.gif', u'profile_background_color': u'131516', u'profile_banner_url': u'https://pbs.twimg.com/profile_banners/518789306/1410647888', u'profile_background_image_url': u'http://abs.twimg.com/images/themes/theme14/bg.gif', u'name': u'Miss A\u011fao\u011flu', u'is_translation_enabled': False, u'profile_background_tile': True, u'favourites_count': 1170, u'screen_name': u'MissAgaoglu', u'url': None, u'created_at': u'Thu Mar 08 19:19:26 +0000 2012', u'contributors_enabled': False, u'location': u'Antalya, \u0130zmir, \u0130stanbul', u'profile_sidebar_border_color': u'FFFFFF', u'translator_type': u'none', u'following': False}",28.98130518,41.02582311,POINT (28.98130518 41.02582311)
48,6232,340469051551805441,Fri May 31 14:05:22 +0000 2013,"This our country! Turkey, has been conquered by a hero! now is governing by a son of a bitch! @ Taksim http://t.co/RtxR76xNVC","{u'type': u'Point', u'coordinates': [28.98693323, 41.03831906]}","{u'country_code': u'TR', u'url': u'https://api.twitter.com/1.1/geo/id/682c5a667856ef42.json', u'country': u'Turqu\xeda', u'place_type': u'country', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[25.668509, 35.8084193], [44.817931, 35.8084193], [44.817931, 42.1047857], [25.668509, 42.1047857]]]}, u'contained_within': [], u'full_name': u'Turqu\xeda', u'attributes': {}, u'id': u'682c5a667856ef42', u'name': u'Turqu\xeda'}","{u'follow_request_sent': False, u'has_extended_profile': True, u'profile_use_background_image': True, u'time_zone': None, u'id': 76716530, u'default_profile': False, u'verified': False, u'profile_text_color': u'1E6A7D', u'profile_image_url_https': u'https://pbs.twimg.com/profile_images/800430392981540864/teVA9-ft_normal.jpg', u'profile_sidebar_fill_color': u'FFC299', u'is_translator': False, u'geo_enabled': False, u'entities': {u'url': {u'urls': [{u'url': u'https://t.co/AgMuOwakGB', u'indices': [0, 23], u'expanded_url': u'http://www.danchitect.com', u'display_url': u'danchitect.com'}]}, u'description': {u'urls': []}}, u'followers_count': 1489, u'protected': False, u'id_str': u'76716530', u'default_profile_image': False, u'listed_count': 4, u'lang': u'en', u'utc_offset': None, u'statuses_count': 7915, u'description': u'Creative Director, Interior Lovechitect, Ex-Bilkenter & Cihangirian, Shower Singer, Drama Queen, GleeK', u'friends_count': 702, u'profile_link_color': u'3773A8', u'profile_image_url': u'http://pbs.twimg.com/profile_images/800430392981540864/teVA9-ft_normal.jpg', u'notifications': False, u'profile_background_image_url_https': u'https://abs.twimg.com/images/themes/theme15/bg.png', u'profile_background_color': u'2D78DD', u'profile_banner_url': u'https://pbs.twimg.com/profile_banners/76716530/1439679879', u'profile_background_image_url': u'http://abs.twimg.com/images/themes/theme15/bg.png', u'name': u'Yiit Korkut', u'is_translation_enabled': False, u'profile_background_tile': True, u'favourites_count': 1141, u'screen_name': u'yiitkk', u'url': u'https://t.co/AgMuOwakGB', u'created_at': u'Wed Sep 23 18:28:42 +0000 2009', u'contributors_enabled': False, u'location': u'Ankara, T\xfcrkiye', u'profile_sidebar_border_color': u'FFFFFF', u'translator_type': u'none', u'following': False}",28.98693323,41.03831906,POINT (28.98693323 41.03831906)
53,6962,340470949583388673,Fri May 31 14:12:54 +0000 2013,"""@serkanocakkk: Istiklal Street, normally has a daily footfall of  over 1 million people http://t.co/cu0YJeEvty"" #Gezipark #direngezipark","{u'type': u'Point', u'coordinates': [28.9871236, 41.0311415]}","{u'country_code': u'TR', u'url': u'https://api.twitter.com/1.1/geo/id/682c5a667856ef42.json', u'country': u'Turqu\xeda', u'place_type': u'country', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[25.668509, 35.8084193], [44.817931, 35.8084193], [44.817931, 42.1047857], [25.668509, 42.1047857]]]}, u'contained_within': [], u'full_name': u'Turqu\xeda', u'attributes': {}, u'id': u'682c5a667856ef42', u'name': u'Turqu\xeda'}","{u'follow_request_sent': False, u'has_extended_profile': False, u'profile_use_background_image': True, u'time_zone': None, u'id': 36655025, u'default_profile': False, u'verified': False, u'profile_text_color': u'4D4848', u'profile_image_url_https': u'https://pbs.twimg.com/profile_images/738301740802551808/Vi78Dn00_normal.jpg', u'profile_sidebar_fill_color': u'D4D4D4', u'is_translator': False, u'geo_enabled': True, u'entities': {u'url': {u'urls': [{u'url': u'https://t.co/IOmv7aC6BK', u'indices': [0, 23], u'expanded_url': u'http://instagram.com/eminations', u'display_url': u'instagram.com/eminations'}]}, u'description': {u'urls': []}}, u'followers_count': 906, u'protected': False, u'id_str': u'36655025', u'default_profile_image': False, u'listed_count': 47, u'lang': u'en', u'utc_offset': None, u'statuses_count': 17978, u'description': u'I believe in the power of empathy & intent. \nIt starts from within and goes as far as you intend for it to go.\nBorn on a big island, now living on a smaller one', u'friends_count': 541, u'profile_link_color': u'AB112A', u'profile_image_url': u'http://pbs.twimg.com/profile_images/738301740802551808/Vi78Dn00_normal.jpg', u'notifications': False, u'profile_background_image_url_https': u'https://abs.twimg.com/images/themes/theme9/bg.gif', u'profile_background_color': u'FFFFFF', u'profile_banner_url': u'https://pbs.twimg.com/profile_banners/36655025/1398846889', u'profile_background_image_url': u'http://abs.twimg.com/images/themes/theme9/bg.gif', u'name': u'Emi Kayserilioglu', u'is_translation_enabled': False, u'profile_background_tile': True, u'favourites_count': 3289, u'screen_name': u'eminations', u'url': u'https://t.co/IOmv7aC6BK', u'created_at': u'Thu Apr 30 12:56:55 +0000 2009', u'contributors_enabled': False, u'location': u'Middle of Levantine Sea', u'profile_sidebar_border_color': u'AB9697', u'translator_type': u'none', u'following': False}",28.987123600000004,41.0311415,POINT (28.9871236 41.0311415)
58,7210,340471562689986560,Fri May 31 14:15:20 +0000 2013,@benabyad today Turkish police officers resemble some of the IDF soldiers who are blinded and programmed to attack. #Gezipark#direngezipark,"{u'type': u'Point', u'coordinates': [28.98733476, 41.03107438]}","{u'country_code': u'TR', u'url': u'https://api.twitter.com/1.1/geo/id/682c5a667856ef42.json', u'country': u'Turqu\xeda', u'place_type': u'country', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[25.668509, 35.8084193], [44.817931, 35.8084193], [44.817931, 42.1047857], [25.668509, 42.1047857]]]}, u'contained_within': [], u'full_name': u'Turqu\xeda', u'attributes': {}, u'id': u'682c5a667856ef42', u'name': u'Turqu\xeda'}","{u'follow_request_sent': False, u'has_extended_profile': False, u'profile_use_background_image': True, u'time_zone': None, u'id': 36655025, u'default_profile': False, u'verified': False, u'profile_text_color': u'4D4848', u'profile_image_url_https': u'https://pbs.twimg.com/profile_images/738301740802551808/Vi78Dn00_normal.jpg', u'profile_sidebar_fill_color': u'D4D4D4', u'is_translator': False, u'geo_enabled': True, u'entities': {u'url': {u'urls': [{u'url': u'https://t.co/IOmv7aC6BK', u'indices': [0, 23], u'expanded_url': u'http://instagram.com/eminations', u'display_url': u'instagram.com/eminations'}]}, u'description': {u'urls': []}}, u'followers_count': 906, u'protected': False, u'id_str': u'36655025', u'default_profile_image': False, u'listed_count': 47, u'lang': u'en', u'utc_offset': None, u'statuses_count': 17978, u'description': u'I believe in the power of empathy & intent. \nIt starts from within and goes as far as you intend for it to go.\nBorn on a big island, now living on a smaller one', u'friends_count': 541, u'profile_link_color': u'AB112A', u'profile_image_url': u'http://pbs.twimg.com/profile_images/738301740802551808/Vi78Dn00_normal.jpg', u'notifications': False, u'profile_background_image_url_https': u'https://abs.twimg.com/images/themes/theme9/bg.gif', u'profile_background_color': u'FFFFFF', u'profile_banner_url': u'https://pbs.twimg.com/profile_banners/36655025/1398846889', u'profile_background_image_url': u'http://abs.twimg.com/images/themes/theme9/bg.gif', u'name': u'Emi Kayserilioglu', u'is_translation_enabled': False, u'profile_background_tile': True, u'favourites_count': 3289, u'screen_name': u'eminations', u'url': u'https://t.co/IOmv7aC6BK', u'created_at': u'Thu Apr 30 12:56:55 +0000 2009', u'contributors_enabled': False, u'location': u'Middle of Levantine Sea', u'profile_sidebar_border_color': u'AB9697', u'translator_type': u'none', u'following': False}",28.98733476,41.03107438,POINT (28.98733476 41.03107438)
72,8433,340474473016872960,Fri May 31 14:26:54 +0000 2013,"""@muratgozoglu: The Armenian Cultural Centre on the 3rd floor of Mercan Kokorec building welcomes all protestors"" #Gezipark #direngezipark","{u'type': u'Point', u'coordinates': [28.9871131, 41.0311456]}","{u'country_code': u'TR', u'url': u'https://api.twitter.com/1.1/geo/id/682c5a667856ef42.json', u'country': u'Turqu\xeda', u'place_type': u'country', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[25.668509, 35.8084193], [44.817931, 35.8084193], [44.817931, 42.1047857], [25.668509, 42.1047857]]]}, u'contained_within': [], u'full_name': u'Turqu\xeda', u'attributes': {}, u'id': u'682c5a667856ef42', u'name': u'Turqu\xeda'}","{u'follow_request_sent': False, u'has_extended_profile': False, u'profile_use_background_image': True, u'time_zone': None, u'id': 36655025, u'default_profile': False, u'verified': False, u'profile_text_color': u'4D4848', u'profile_image_url_https': u'https://pbs.twimg.com/profile_images/738301740802551808/Vi78Dn00_normal.jpg', u'profile_sidebar_fill_color': u'D4D4D4', u'is_translator': False, u'geo_enabled': True, u'entities': {u'url': {u'urls': [{u'url': u'https://t.co/IOmv7aC6BK', u'indices': [0, 23], u'expanded_url': u'http://instagram.com/eminations', u'display_url': u'instagram.com/eminations'}]}, u'description': {u'urls': []}}, u'followers_count': 906, u'protected': False, u'id_str': u'36655025', u'default_profile_image': False, u'listed_count': 47, u'lang': u'en', u'utc_offset': None, u'statuses_count': 17978, u'description': u'I believe in the power of empathy & intent. \nIt starts from within and goes as far as you intend for it to go.\nBorn on a big island, now living on a smaller one', u'friends_count': 541, u'profile_link_color': u'AB112A', u'profile_image_url': u'http://pbs.twimg.com/profile_images/738301740802551808/Vi78Dn00_normal.jpg', u'notifications': False, u'profile_background_image_url_https': u'https://abs.twimg.com/images/themes/theme9/bg.gif', u'profile_background_color': u'FFFFFF', u'profile_banner_url': u'https://pbs.twimg.com/profile_banners/36655025/1398846889', u'profile_background_image_url': u'http://abs.twimg.com/images/themes/theme9/bg.gif', u'name': u'Emi Kayserilioglu', u'is_translation_enabled': False, u'profile_background_tile': True, u'favourites_count': 3289, u'screen_name': u'eminations', u'url': u'https://t.co/IOmv7aC6BK', u'created_at': u'Thu Apr 30 12:56:55 +0000 2009', u'contributors_enabled': False, u'location': u'Middle of Levantine Sea', u'profile_sidebar_border_color': u'AB9697', u'translator_type': u'none', u'following': False}",28.9871131,41.0311456,POINT (28.9871131 41.0311456)
74,8645,340475104066695168,Fri May 31 14:29:25 +0000 2013,@ismet_berkan @didem_soydan: A beautiful image of real unity between BJK GS &amp; FB supporters #Gezipark #diregezipark http://t.co/D2hC5iOVi2,"{u'type': u'Point', u'coordinates': [28.9871214, 41.0311759]}","{u'country_code': u'TR', u'url': u'https://api.twitter.com/1.1/geo/id/682c5a667856ef42.json', u'country': u'Turqu\xeda', u'place_type': u'country', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[25.668509, 35.8084193], [44.817931, 35.8084193], [44.817931, 42.1047857], [25.668509, 42.1047857]]]}, u'contained_within': [], u'full_name': u'Turqu\xeda', u'attributes': {}, u'id': u'682c5a667856ef42', u'name': u'Turqu\xeda'}","{u'follow_request_sent': False, u'has_extended_profile': False, u'profile_use_background_image': True, u'time_zone': None, u'id': 36655025, u'default_profile': False, u'verified': False, u'profile_text_color': u'4D4848', u'profile_image_url_https': u'https://pbs.twimg.com/profile_images/738301740802551808/Vi78Dn00_normal.jpg', u'profile_sidebar_fill_color': u'D4D4D4', u'is_translator': False, u'geo_enabled': True, u'entities': {u'url': {u'urls': [{u'url': u'https://t.co/IOmv7aC6BK', u'indices': [0, 23], u'expanded_url': u'http://instagram.com/eminations', u'display_url': u'instagram.com/eminations'}]}, u'description': {u'urls': []}}, u'followers_count': 906, u'protected': False, u'id_str': u'36655025', u'default_profile_image': False, u'listed_count': 47, u'lang': u'en', u'utc_offset': None, u'statuses_count': 17978, u'description': u'I believe in the power of empathy & intent. \nIt starts from within and goes as far as you intend for it to go.\nBorn on a big island, now living on a smaller one', u'friends_count': 541, u'profile_link_color': u'AB112A', u'profile_image_url': u'http://pbs.twimg.com/profile_images/738301740802551808/Vi78Dn00_normal.jpg', u'notifications': False, u'profile_background_image_url_https': u'https://abs.twimg.com/images/themes/theme9/bg.gif', u'profile_background_color': u'FFFFFF', u'profile_banner_url': u'https://pbs.twimg.com/profile_banners/36655025/1398846889', u'profile_background_image_url': u'http://abs.twimg.com/images/themes/theme9/bg.gif', u'name': u'Emi Kayserilioglu', u'is_translation_enabled': False, u'profile_background_tile': True, u'favourites_count': 3289, u'screen_name': u'eminations', u'url': u'https://t.co/IOmv7aC6BK', u'created_at': u'Thu Apr 30 12:56:55 +0000 2009', u'contributors_enabled': False, u'location': u'Middle of Levantine Sea', u'profile_sidebar_border_color': u'AB9697', u'translator_type': u'none', u'following': False}",28.9871214,41.031175899999994,POINT (28.9871214 41.03117589999999)
98,11989,340483104621854721,Fri May 31 15:01:12 +0000 2013,If it's so simple why on earth did these officials not speak up earlier? Why wait so long? What a load of bollocks #Gezipark #direngezipark,"{u'type': u'Point', u'coordinates': [28.9871049, 41.0311659]}","{u'country_code': u'TR', u'url': u'https://api.twitter.com/1.1/geo/id/682c5a667856ef42.json', u'country': u'Turqu\xeda', u'place_type': u'country', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[25.668509, 35.8084193], [44.817931, 35.8084193], [44.817931, 42.1047857], [25.668509, 42.1047857]]]}, u'contained_within': [], u'full_name': u'Turqu\xeda', u'attributes': {}, u'id': u'682c5a667856ef42', u'name': u'Turqu\xeda'}","{u'follow_request_sent': False, u'has_extended_profile': False, u'profile_use_background_image': True, u'time_zone': None, u'id': 36655025, u'default_profile': False, u'verified': False, u'profile_text_color': u'4D4848', u'profile_image_url_https': u'https://pbs.twimg.com/profile_images/738301740802551808/Vi78Dn00_normal.jpg', u'profile_sidebar_fill_color': u'D4D4D4', u'is_translator': False, u'geo_enabled': True, u'entities': {u'url': {u'urls': [{u'url': u'https://t.co/IOmv7aC6BK', u'indices': [0, 23], u'expanded_url': u'http://instagram.com/eminations', u'display_url': u'instagram.com/eminations'}]}, u'description': {u'urls': []}}, u'followers_count': 906, u'protected': False, u'id_str': u'36655025', u'default_profile_image': False, u'listed_count': 47, u'lang': u'en', u'utc_offset': None, u'statuses_count': 17978, u'description': u'I believe in the power of empathy & intent. \nIt starts from within and goes as far as you intend for it to go.\nBorn on a big island, now living on a smaller one', u'friends_count': 541, u'profile_link_color': u'AB112A', u'profile_image_url': u'http://pbs.twimg.com/profile_images/738301740802551808/Vi78Dn00_normal.jpg', u'notifications': False, u'profile_background_image_url_https': u'https://abs.twimg.com/images/themes/theme9/bg.gif', u'profile_background_color': u'FFFFFF', u'profile_banner_url': u'https://pbs.twimg.com/profile_banners/36655025/1398846889', u'profile_background_image_url': u'http://abs.twimg.com/images/themes/theme9/bg.gif', u'name': u'Emi Kayserilioglu', u'is_translation_enabled': False, u'profile_background_tile': True, u'favourites_count': 3289, u'screen_name': u'eminations', u'url': u'https://t.co/IOmv7aC6BK', u'created_at': u'Thu Apr 30 12:56:55 +0000 2009', u'contributors_enabled': False, u'location': u'Middle of Levantine Sea', u'profile_sidebar_border_color': u'AB9697', u'translator_type': u'none', u'following': False}",28.9871049,41.0311659,POINT (28.9871049 41.0311659)
120,13940,340487498146910208,Fri May 31 15:18:40 +0000 2013,"Just reached Kabatas, the pepper gas effects are felt all the way down here. On our way #gezipark #direngezipark","{u'type': u'Point', u'coordinates': [28.99257253, 41.03413328]}","{u'country_code': u'TR', u'url': u'https://api.twitter.com/1.1/geo/id/682c5a667856ef42.json', u'country': u'Turqu\xeda', u'place_type': u'country', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[25.668509, 35.8084193], [44.817931, 35.8084193], [44.817931, 42.1047857], [25.668509, 42.1047857]]]}, u'contained_within': [], u'full_name': u'Turqu\xeda', u'attributes': {}, u'id': u'682c5a667856ef42', u'name': u'Turqu\xeda'}","{u'follow_request_sent': False, u'has_extended_profile': False, u'profile_use_background_image': False, u'time_zone': None, u'id': 122070885, u'default_profile': False, u'verified': False, u'profile_text_color': u'333333', u'profile_image_url_https': u'https://pbs.twimg.com/profile_images/997364571949207552/-dsXl-TR_normal.jpg', u'profile_sidebar_fill_color': u'DDEEF6', u'is_translator': False, u'geo_enabled': True, u'entities': {u'url': {u'urls': [{u'url': u'http://t.co/tf8d0Gl793', u'indices': [0, 22], u'expanded_url': u'http://leansocialstartup.com', u'display_url': u'leansocialstartup.com'}]}, u'description': {u'urls': []}}, u'followers_count': 2074, u'protected': False, u'id_str': u'122070885', u'default_profile_image': False, u'listed_count': 31, u'lang': u'en', u'utc_offset': None, u'statuses_count': 4455, u'description': u'Left Brain - Excel, Analytics, Teaching; Right Brain - Print, Web, and Video Design; Heart - to change the world', u'friends_count': 217, u'profile_link_color': u'0084B4', u'profile_image_url': u'http://pbs.twimg.com/profile_images/997364571949207552/-dsXl-TR_normal.jpg', u'notifications': False, u'profile_background_image_url_https': u'https://abs.twimg.com/images/themes/theme1/bg.png', u'profile_background_color': u'C0DEED', u'profile_banner_url': u'https://pbs.twimg.com/profile_banners/122070885/1523798678', u'profile_background_image_url': u'http://abs.twimg.com/images/themes/theme1/bg.png', u'name': u'Jason Lau', u'is_translation_enabled': False, u'profile_background_tile': True, u'favourites_count': 413, u'screen_name': u'ceyhunlau', u'url': u'http://t.co/tf8d0Gl793', u'created_at': u'Thu Mar 11 14:03:13 +0000 2010', u'contributors_enabled': False, u'location': u'Istanbul', u'profile_sidebar_border_color': u'C0DEED', u'translator_type': u'none', u'following': False}",28.99257253,41.03413328,POINT (28.99257253 41.03413328)
